,Rainbow,No Double,No Dueling,No PER,No Noisy,No Distributional,No N-steps,DQN,Double,Dueling,PER, Noisy,Distributional,N-steps
541,0.249090909090909,0.305454545454545,0.270909090909091,0.227272727272727,0.229090909090909,0.24,0.269090909090909,0.130909090909091,0.196363636363636,0.3,0.134545454545455,0.374545454545455,0.136363636363636,0.163636363636364
550,0.257602862254025,0.311270125223614,0.26654740608229,0.228980322003578,0.225402504472272,0.246869409660107,0.273703041144902,0.132379248658318,0.198568872987478,0.295169946332737,0.134168157423971,0.379248658318426,0.128801431127013,0.16994633273703
559,0.255281690140845,0.309859154929577,0.264084507042253,0.232394366197183,0.234154929577465,0.25,0.276408450704225,0.126760563380282,0.200704225352113,0.295774647887324,0.128521126760563,0.366197183098592,0.116197183098592,0.174295774647887
568,0.261698440207972,0.318890814558059,0.266897746967071,0.233968804159445,0.240901213171577,0.258232235701906,0.2842287694974,0.131715771230503,0.199306759098787,0.291161178509532,0.128249566724437,0.365684575389948,0.110918544194107,0.178509532062392
577,0.252559726962457,0.324232081911263,0.267918088737201,0.232081911262799,0.244027303754266,0.252559726962457,0.28839590443686,0.129692832764505,0.201365187713311,0.293515358361775,0.127986348122867,0.363481228668942,0.100682593856655,0.172354948805461
586,0.260504201680672,0.33109243697479,0.272268907563025,0.240336134453782,0.245378151260504,0.26218487394958,0.287394957983193,0.134453781512605,0.20672268907563,0.294117647058824,0.129411764705882,0.363025210084034,0.104201680672269,0.166386554621849
595,0.26158940397351,0.334437086092715,0.27317880794702,0.240066225165563,0.25,0.271523178807947,0.286423841059603,0.130794701986755,0.20364238410596,0.289735099337748,0.132450331125828,0.360927152317881,0.102649006622517,0.160596026490066
604,0.262642740619902,0.34094616639478,0.277324632952692,0.244698205546493,0.247960848287113,0.272430668841762,0.275693311582382,0.122349102773246,0.208809135399674,0.298531810766721,0.127243066884176,0.365415986949429,0.096247960848287,0.164763458401305
613,0.263665594855305,0.34887459807074,0.287781350482315,0.245980707395498,0.252411575562701,0.273311897106109,0.282958199356913,0.120578778135048,0.209003215434084,0.294212218649518,0.133440514469453,0.363344051446945,0.09967845659164,0.157556270096463
622,0.264659270998415,0.354992076069731,0.280507131537242,0.253565768621236,0.259904912836767,0.272583201267829,0.275752773375594,0.120443740095087,0.202852614896989,0.290015847860539,0.131537242472266,0.362916006339144,0.099841521394612,0.166402535657686
631,0.2640625,0.3640625,0.2859375,0.2640625,0.25625,0.2734375,0.26875,0.1171875,0.203125,0.284375,0.13125,0.3625,0.10625,0.1671875
